Date,Deal Type,Chinese Party,Foreign Party,Asset,Therapeutic Area,Stage,Total Value (USD),Upfront (USD),Territory,Modality,Highlights,Source,Source URL
September 2024,acquisition,Regor Therapeutics,Roche/Genentech,CDK inhibitor portfolio (RGT-419B and preclinical candidate),Oncology – Breast Cancer,Phase 1,$850M,$850M,Global,Small Molecule,"Roche/Genentech paid $850M upfront to acquire Regor's next-generation CDK inhibitor portfolio, aimed at overcoming resistance to existing CDK4/6 inhibitors like Ibrance and Verzenio. RGT-419B showed durable single-agent activity in CDK-resistant patients. This was one of the largest China-origin asset acquisitions of 2024 and signals Roche's commitment to sourcing innovation from China.",FierceBiotech,https://www.fiercebiotech.com/biotech/genentech-inks-850m-upfront-deal-regors-cdk-inhibitors-furthering-breast-cancer-expansion
September 2024,licensing-out,Argo Biopharma,Novartis,RNAi cardiovascular drugs (initial collaboration),Cardiovascular,Phase 1,Not disclosed,$185M,Global ex-China,siRNA,"Novartis' initial licensing agreements with Chinese RNAi specialist Argo Biopharma included $185M in upfront payments across two deals, establishing the collaboration that would later expand to $5.2B in 2025. This early bet on Argo highlights Novartis' strategy to build cardiovascular RNAi pipeline from Chinese innovation.",BioPharma Dive,https://www.biopharmadive.com/news/novartis-argo-licensing-deal-angptl3-rna-china/759101/
October 2024,licensing-out,Hansoh Pharma,GSK,B7-H4-targeted ADC (gynecological cancer),Oncology – Gynecological Cancer,Phase 1,$1.485B,$85M,Global ex-Greater China,ADC,"GSK signed its first Hansoh ADC deal at ESMO 2024 for a B7-H4-targeted ADC in solid tumors/gynecological cancer, paying $85M upfront plus up to $1.4B in milestones. GSK has since lined up five Phase 3 studies for this asset (GSK'584) to launch in H1 2026, demonstrating rapid clinical progression of China-originated ADCs by Big Pharma partners.",FierceBiotech,https://www.fiercebiotech.com/biotech/esmo-adc-files-after-enhertu-success-daiichi-and-astrazeneca-branch-next-phase-pipelines
October 2024,licensing-out,CSPC Pharmaceutical Group,AstraZeneca,Preclinical cardiovascular disease drug (lipid-lowering oral therapy),Cardiovascular,Preclinical,$1.92B,$100M,Global ex-China,Small Molecule,"AstraZeneca licensed an oral lipid-lowering therapy from CSPC Pharmaceutical for $100M upfront and up to $1.92B total, marking their first licensing collaboration. This deal helped deepen the AstraZeneca-CSPC relationship that expanded into AI-enabled drug discovery in 2025 and eventually the blockbuster $18.5B obesity deal.",Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/astrazeneca-agrees-research-deal-worth-up-522-billion-with-cspc-2025-06-13/
November 2024,licensing-out,LaNova Medicines,Merck & Co.,LM-299 (PD-1xVEGF bispecific antibody),Oncology – Immuno-oncology,Phase 1,$3.3B,$588M,Worldwide,Bispecific Antibody,"Merck paid a massive $588M upfront for LaNova's PD-1xVEGF bispecific LM-299 as a direct hedge against ivonescimab's threat to Keytruda. The $588M upfront for a Phase 1 asset is extraordinary, reflecting the strategic imperative for Merck to secure a Keytruda successor. This deal kicked off a PD-1xVEGF licensing wave that later saw Pfizer/3SBio and BMS/BioNTech follow suit.",BioPharma Dive,https://www.biopharmadive.com/news/merck-lanova-pd1-vegf-bispecific-cancer-drug-deal/732906/
November 2024,licensing-out,LaNova Medicines,Merck & Co.,PD-1/VEGF bispecific antibody (for cancer/NSCLC),Oncology – NSCLC / Solid Tumors,Phase 1,$3.3B,$588M,Worldwide,Bispecific Antibody,Merck paid a massive $588M upfront to Shanghai-based LaNova Medicines for worldwide rights to an early-stage PD-1/VEGF bispecific antibody. The deal valued at up to $3.3B was a direct response to ivonescimab's stunning Phase 3 victory over Keytruda in NSCLC. This deal is defensively strategic for Merck as it seeks to protect its $29.5B Keytruda franchise by pivoting to the next-gen PD-1/VEGF bispecific mechanism pioneered in China.,FierceBiotech,https://www.fiercebiotech.com/biotech/pfizer-pays-3sbio-125b-pd-1xvegf-bispecific-joining-biontech-merck-and-summit-red-hot-race
November 2024,licensing-out,Hansoh Pharma,GSK,HS-20093 (B7-H3-targeted ADC),"Oncology – Lung Cancer, Sarcoma, Solid Tumors",Phase 1,$1.685B,$185M,Global ex-Greater China,ADC,"GSK's second Hansoh ADC deal (weeks after the B7-H4 pact) involved HS-20093, a B7-H3-targeting ADC with a topoisomerase inhibitor payload. Phase 1 data showed responses in SCLC, NSCLC, and sarcoma across heavily pretreated patients. The $185M upfront was among the largest ADC upfronts of 2024, and GSK has since progressed this asset (GSK'227) to Phase 3 in SCLC.",BioPharma Dive,https://www.biopharmadive.com/news/gsk-hansoh-adc-lung-cancer-sarcoma/703068/
November 2024,acquisition,Biotheus,BioNTech,PM8002/BNT327 (PD-L1/VEGF bispecific antibody) + full Biotheus pipeline,Oncology – Solid Tumors / Lung Cancer,Phase 2,$800M,$800M,Worldwide,Bispecific Antibody,"BioNTech acquired Chinese biotech Biotheus for $800M to gain full global control of PM8002/BNT327, a PD-L1/VEGF bispecific antibody. This followed an initial $55M licensing deal in 2023. The acquisition was triggered by ivonescimab's landmark victory over Keytruda, validating the PD-L1/VEGF mechanism. BioNTech later attracted BMS as a co-development partner in a $11.1B deal in June 2025, exponentially multiplying the value of the original Chinese asset.",BioPharma Dive,https://www.biopharmadive.com/news/biontech-biotheus-pd1-vegf-bispecific-aquire-deal/732736/
December 2024,licensing-in,BeiGene,Ensem Therapeutics,ETX-197 (CDK2 inhibitor),"Oncology – Breast Cancer, Solid Tumors",Preclinical,$1.33B,Not disclosed,Global,Small Molecule,"BeiGene licensed in a CDK2 inhibitor from Ensem Therapeutics to complement its internally discovered Phase 1 CDK4 inhibitor, building a comprehensive cell cycle inhibitor portfolio for breast cancer. The deal highlights BeiGene's evolution from Chinese biotech to global pharma, actively licensing in Western-developed assets.",FierceBiotech,https://www.fiercebiotech.com/biotech/beigene-stakes-out-space-hot-cancer-niche-offering-13b-biobucks-preclinical-prospect
December 2024,licensing-out,Hansoh Pharma,Merck & Co.,HS-10535 (preclinical GLP-1 oral obesity drug),Metabolic – Obesity / Cardiometabolic,Preclinical,$2B,$112M,Global,Small Molecule,"Merck entered the oral GLP-1 race by licensing Hansoh's preclinical HS-10535 for up to $2B with $112M upfront. Despite the asset being at preclinical stage, the substantial upfront reflects the intense demand for oral obesity drugs. This positions Merck alongside AstraZeneca (Eccogene) and Pfizer in sourcing oral weight-loss candidates from China.",FierceBiotech,https://www.fiercebiotech.com/biotech/merck-co-boosts-glp-1-portfolio-paying-112m-upfront-hansohs-preclinical-drug
December 2024,licensing-out,Hansoh Pharma,Roche,HS-20110 (CDH17-targeted ADC),"Oncology – Colorectal Cancer, Solid Tumors",Phase 1,$1.53B,$80M,Global ex-Greater China,ADC,Roche licensed Hansoh's CDH17-targeted ADC HS-20110 for up to $1.53B with $80M upfront. CDH17 is a novel target in colorectal cancer where Roche has deep experience (Avastin franchise). The deal highlights Roche's continued appetite for China-originated ADCs and validates the CDH17 target in GI oncology.,FierceBiotech,https://www.fiercebiotech.com/biotech/licensing-galore-roche-ties-hansoh-adcs-rani-rounds-out-week-chugai-drug-delivery-pact
December 2024,licensing-out,DualityBio (Duality Biologics),GSK,Preclinical ADC (gastrointestinal tumors),Oncology – Gastrointestinal Tumors,Preclinical,$1B+,$30M,Global ex-Greater China,ADC,"GSK secured an option on a preclinical DualityBio ADC candidate for GI tumors, paying $30M upfront/pre-option with up to $975M in milestones if exercised. This is GSK's second trip to China for ADCs, following its $270M upfront Hansoh deal for B7-H3/B7-H4 ADCs. DualityBio's ADC platform has attracted deals totaling over $4B from BioNTech, BeiGene, and others.",FierceBiotech,https://www.fiercebiotech.com/biotech/gsk-goes-east-again-snagging-option-preclinical-dualitybio-adc-30m
December 2024,licensing-out,Hengrui Pharma,Ideaya Biosciences,SHR-4849 (DLL3-directed ADC),Oncology – Small Cell Lung Cancer,Phase 1,Not disclosed,$75M,Global ex-Greater China,ADC,"Ideaya paid $75M upfront for ex-Greater China rights to Hengrui's DLL3-directed ADC SHR-4849, establishing Ideaya in the competitive small cell lung cancer ADC space. The deal reflects Hengrui's prolific ADC pipeline and willingness to partner assets at early clinical stages. Ideaya planned to file a US IND in H1 2025.",FierceBiotech,https://www.fiercebiotech.com/biotech/beigene-brii-and-ideaya-ring-new-year-deal-news-betting-billions-biobucks-prospects
December 2024,licensing-out,Curon Pharmaceutical,Merck,Immunology asset,Immunology – Autoimmune,Phase 1,Not disclosed,Not disclosed,Global ex-China,Other,"Merck inked an immunology licensing pact with China's Curon Pharmaceutical, part of Merck's spree of China deals in late 2024 alongside Hansoh (obesity) and LaNova (oncology). This underscores Merck's broader strategy of leveraging Chinese biotech innovation across multiple therapeutic areas beyond oncology.",BioPharma Dive,https://www.biopharmadive.com/news/merck-hansoh-obesity-license-deal-oral-glp-1/735884/
December 2024,licensing-out,DualityBio (Duobao Biotechnology),GSK,Preclinical ADC (gastrointestinal tumors),Oncology – Gastrointestinal,Preclinical,Not disclosed,$30M,Global ex-China,ADC,"GSK returned to Chinese ADC developer DualityBio, paying $30M for an option on a preclinical ADC targeting gastrointestinal tumors. DualityBio has struck ADC deals worth over $4B with companies including BioNTech, BeiGene, and Adcendo. GSK also paid Hansoh $270M upfront in a separate ADC deal, illustrating the continued Western pharma appetite for Chinese ADC technology.",FierceBiotech,https://www.fiercebiotech.com/biotech/gsk-goes-east-again-snagging-option-preclinical-dualitybio-adc-30m
January 2025,licensing-out,Shanghai Henlius Biotech,Eisai,"Hansizhuang (serplulimab, PD-1 antibody)",Oncology – Lung Cancer,Approved,$388M,$75M,Not disclosed,,"Eisai licensed Henlius's approved lung cancer PD-1 antibody Hansizhuang (serplulimab) for $75M upfront and up to $313M in milestones. This deal extends Japan-China pharma collaboration and gives Eisai a competitive checkpoint inhibitor. Henlius, a Fosun Pharma subsidiary, continues to monetize its biosimilar and innovative antibody portfolio internationally.",Reuters,https://www.reuters.com/company/eisai-co-ltd/
January 2025,licensing-out,Innovent Biologics,Roche,IBI3009 (DLL3-targeted ADC),Oncology – Solid Tumors,Phase 1,$1B,$80M,Global,ADC,"Roche returned to Innovent Biologics at the start of 2025 to license IBI3009, a DLL3-targeted ADC for solid tumors that had just entered Phase 1 dosing. This deal continues Roche's aggressive ADC acquisition strategy and underscores Innovent's growing position as a serial out-licensor to major pharma partners including Roche, Takeda, and Lilly.",FierceBiotech,https://www.fiercebiotech.com/biotech/roche-returns-innovent-biologics-new-1b-biobucks-adc-drug-deal
January 2025,newco-spinout,Keymed Biosciences,Ouro Medicines,OM336 (bispecific T cell engager),Immunology – B cell-mediated immune diseases,Preclinical,Not disclosed,Not disclosed,Not disclosed,Bispecific Antibody,"Ouro Medicines licensed bispecific TCE OM336 from Chinese biotech Keymed Biosciences alongside its $120M Series A. The deal targets B cell-mediated immune diseases using T cell engager technology, extending the TCE modality beyond oncology into autoimmune. Ouro plans to enter the clinic in 2025.",FierceBiotech,https://www.fiercebiotech.com/biotech/fierce-biotech-fundraising-tracker-25
January 2025,licensing-out,MediLink Therapeutics,Roche,YL201 (B7-H3-targeting ADC),"Oncology – SCLC, Nasopharyngeal Carcinoma",Phase 2,Not disclosed,$570M (upfront + near-term milestones combined),Global ex-China,ADC,"Roche returned to MediLink just one year after their first deal, this time for a B7-H3-targeting ADC with $570M in near-term payments. YL201 showed promising ORR and survival benefits in second-line SCLC Phase 2 data. The deal deepens Roche's commitment to MediLink's TMALIN ADC platform and its China sourcing strategy.",FierceBiotech,https://www.fiercebiotech.com/biotech/roche-returns-medilink-promise-570m-near-term-payments-another-adc
January 2025,licensing-out,CSPC Pharmaceutical Group,AstraZeneca,SYH2082 and portfolio of up to 8 obesity programs (GLP1R/GIPR agonists),Metabolic – Obesity / Weight Management,Preclinical,$18.5B,$1.2B,Global ex-China,Peptide,"AstraZeneca struck one of the largest China-originated licensing deals ever, paying $1.2B upfront for CSPC's portfolio of up to 8 next-generation weight management programs led by SYH2082, a long-acting GLP1R/GIPR agonist. The $18.5B total potential value is the largest China out-licensing deal scope since 2025, reflecting AZ's aggressive obesity strategy.",BioPharma Dive,https://www.biopharmadive.com/news/astrazeneca-obesity-deal-china-cspc-ai/810942/
January 2025,licensing-out,RemeGen,AbbVie,Experimental tumor treatment (oncology),Oncology,Not disclosed,$5.6B,Not disclosed,Global ex-China,ADC,AbbVie struck a massive up to $5.6B licensing deal with Chinese ADC specialist RemeGen for an experimental tumor treatment. RemeGen is known for its ADC platform (including disitamab vedotin/Aidixi). This deal signals AbbVie's commitment to building an oncology pipeline via Chinese biotech partnerships and is one of the largest China out-licensing deals by total value.,Reuters,https://www.reuters.com/sustainability/climate-energy/china-biotech-licensing-boom-hit-record-2026-pipeline-swells-2026-02-13/
January 2025,licensing-out,Eccogene,AstraZeneca,Experimental oral weight-loss pill,Metabolic – Obesity,Phase 2,Not disclosed,Not disclosed,Not disclosed,Small Molecule,"AstraZeneca licensed an oral weight-loss pill from China's Eccogene as part of its broader obesity pipeline strategy, complementing its CSPC portfolio deal. Early clinical data showed the Eccogene pill may cause less muscle wastage than current GLP-1 treatments, a significant differentiator. The collaboration is part of AZ's multi-pronged China investment strategy targeting 20 new medicines by 2030.",Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/chinas-cspc-pharmaceutical-inks-deal-with-astrazeneca-weight-loss-therapy-2026-01-30/
February 2025,partnership,Akeso,Summit Therapeutics / Pfizer,Ivonescimab (PD-1xVEGF bispecific antibody) combination studies with Pfizer ADCs,Oncology – Lung Cancer,Phase 3,Not disclosed,Not disclosed,Global,Bispecific Antibody,Summit and Pfizer partnered to test Akeso-originated ivonescimab alongside Pfizer's ADCs in combination studies seeking 'potentially landscape-changing combinations.' This partnership underscores ivonescimab's position as the frontrunner PD-1xVEGF bispecific and Big Pharma interest in pairing it with complementary modalities.,BioPharma Dive,https://www.biopharmadive.com/news/summit-pfizer-Iivonescimab-antibody-drug-conjugate-deal/740738/
February 2025,partnership,Akeso,Pfizer,Ivonescimab (PD-1xVEGF bispecific) – combination study partnership,Oncology,Phase 3,Not disclosed,Not disclosed,Global,Bispecific Antibody,"Pfizer partnered with Akeso and Summit Therapeutics to study ivonescimab alongside Pfizer's cancer pipeline medicines. This is a strategic combination trial arrangement rather than a full license, but notably it shows Pfizer hedging bets on PD-1xVEGF bispecifics by both partnering with the class leader (ivonescimab) and independently licensing a competitor from 3SBio.",BioPharma Dive,https://www.biopharmadive.com/news/pfizer-3sbio-pd1-vegf-cancer-licensing-deal/748559/
March 2025,licensing-out,Hengrui Pharma,Merck & Co.,HRS-5346 (oral heart disease drug / PCSK9 inhibitor),Cardiovascular – Heart Disease / Atherosclerosis,Phase 2,$1.97B,$200M,Global ex-Greater China,Small Molecule,"Merck paid $200M upfront for Hengrui's oral heart disease drug HRS-5346, an oral small molecule in mid-stage trials in China targeting cholesterol/lipid formation. This is Merck's third major China licensing deal in quick succession (after Hansoh obesity and LaNova oncology), signaling a systematic China sourcing strategy across therapeutic areas.",Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/merck-signs-deal-with-jiangsu-hengrui-worth-up-2-billion-access-heart-drug-2025-03-25/
March 2025,licensing-out,Jiangsu Hengrui Pharmaceuticals,Merck,HRS-5346 (oral Lp(a) inhibitor for cardiovascular disease),Cardiovascular – Lipoprotein(a) / Atherosclerosis,Phase 2,$1.97B,$200M,Global ex-Greater China,Small Molecule,"Merck paid $200M upfront for rights outside Greater China to Hengrui's oral Lp(a) inhibitor HRS-5346, currently in Phase 2 testing. Hengrui is eligible for $1.77B in additional milestones plus royalties. The deal puts Merck in a competitive race against Novartis (RNA-based, Phase 3), Eli Lilly, and Amgen for this emerging cardiovascular drug class targeting a genetic risk factor believed to contribute to blood vessel blockages.",BioPharma Dive,https://www.biopharmadive.com/news/merck-jiangsu-hengrui-lpa-heart-drug-deal/743428/
March 2025,licensing-out,United Laboratories International Holdings,Novo Nordisk,UBT251 (GLP-1/GIP/glucagon triple agonist for obesity),Metabolic – Obesity,Phase 2,$2B,$200M,Global ex-Greater China,Peptide,"Novo Nordisk paid $200M upfront to China's United Laboratories for global ex-Greater China rights to UBT251, a GLP-1/GIP/glucagon triple agonist for obesity. Early Phase 2 data from China showed 19.7% weight loss, positioning UBT251 as a potential successor to Wegovy and rival to Lilly's retatrutide. The deal gives Novo critical 'triple G' optionality after CagriSema's underwhelming results, and reflects China's rapid emergence as a supplier of next-gen obesity drugs.",BioPharma Dive,https://www.biopharmadive.com/news/novo-obesity-triple-agonist-united-laboratories-UBT251/743291/
April 2025,licensing-out,Earendil,Sanofi,Immune disease drugs,Immunology – Autoimmune,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,"Sanofi licensed immune disease drugs from Chinese startup Earendil, expanding its autoimmune/immunology pipeline via China out-licensing. This deal reflects Sanofi's broader strategy to build a next-generation immunology portfolio, adding to the diversification of China deals beyond oncology into autoimmune indications.",BioPharma Dive,https://www.biopharmadive.com/news/takeda-innovent-cancer-drug-licensing-deal-china/803454/
April 2025,licensing-out,Earendil Labs / Helixon Therapeutics,Sanofi,HXN-1002 (α4β7/TL1A bispecific) and HXN-1003 (TL1A/IL23 bispecific),Immunology – Autoimmune / IBD,Preclinical,$1.8B,$125M,Worldwide,Bispecific Antibody,"Sanofi paid $125M upfront plus a $50M near-term payment for two autoimmune bispecific antibodies from Earendil Labs, a US-based AI biotech affiliated with China's Helixon Therapeutics. HXN-1002 targets α4β7/TL1A for IBD while HXN-1003 targets TL1A/IL23 for colitis and skin inflammation. The deal reflects Sanofi's ambition to become an 'immunoscience powerhouse' and the growing role of China-linked AI drug discovery platforms.",FierceBiotech,https://www.fiercebiotech.com/biotech/sanofi-pens-18b-deal-2-bispecific-antibodies-aimed-autoimmune-immunology
April 2025,licensing-out,Helixon Therapeutics (via Earendil Labs),Sanofi,HXN-1002 (α4β7/TL1A bispecific) and HXN-1003 (TL1A/IL23 bispecific),"Immunology – IBD (Crohn's, UC) / Dermatology",Preclinical,$1.8B,$125M + $50M near-term,Worldwide,Bispecific Antibody,"Sanofi licensed two bispecific antibodies from Earendil Labs, an affiliate of China-based AI antibody designer Helixon Therapeutics. HXN-1002 targets α4β7/TL1A for ulcerative colitis and Crohn's, while HXN-1003 targets TL1A/IL23 for colitis and skin inflammation. The deal is part of Sanofi's strategy to become an 'immunoscience powerhouse' and follows a broader trend of pharma companies accessing China's AI-driven drug discovery platforms. Sanofi later returned for a second deal with Earendil worth up to $2.56B.",BioPharma Dive,https://www.biopharmadive.com/news/sanofi-earendil-immune-drug-deal-tl1a-il23/745616/
April 2025,licensing-out,"Earendil Labs (affiliate of Helixon Therapeutics, China)",Sanofi,Two bispecific drugs targeting TL1A/IL23 for autoimmune/IBD,Immunology – Autoimmune / Inflammatory Bowel Disease,Preclinical,$1.9B,$125M (plus $50M near-term payment),Not disclosed,Bispecific Antibody,"Sanofi paid $125M upfront plus $50M in near-term payments to Earendil Labs, an affiliate of China's Helixon Therapeutics, for two bispecific antibody candidates targeting popular immune disease targets TL1A and IL23. The deal could be worth up to $1.72B in additional milestones plus royalties. This signals Sanofi's interest in next-gen multi-targeting approaches for IBD/autoimmune, leveraging China's bispecific antibody design expertise.",BioPharma Dive,https://www.biopharmadive.com/news/sanofi-earendil-immune-drug-deal-tl1a-il23/745616/
May 2025,licensing-out,Evopoint Biosciences,Astellas Pharma,CLDN18.2-targeting ADC,Oncology – Gastrointestinal Tumors,Phase 2,$1.34B,$130M,Not disclosed,ADC,Astellas doubled down on Claudin 18.2 less than a year after gaining the first anti-CLDN18.2 FDA approval (Vyloy). The $130M upfront with $70M in near-term milestones from Chinese biotech Evopoint positions Astellas to defend its lead in the competitive CLDN18.2 space with a next-gen ADC approach.,FierceBiotech,https://www.fiercebiotech.com/biotech/astellas-aspires-strike-cldn182-gold-again-adc-licensing-deal-worth-134b
May 2025,licensing-out,3SBio,Pfizer,SSGJ-70 (PD-1/VEGF bispecific antibody),Oncology – NSCLC,Phase 3,$6.05B,$1.25B,Global ex-China,Bispecific Antibody,"Pfizer paid a massive $1.25B upfront to 3SBio for ex-China rights to SSGJ-70, a PD-1/VEGF bispecific antibody that competes with Akeso/Summit's ivonescimab and Merck's Keytruda. The deal also includes up to $4.8B in milestones plus a $100M equity investment and double-digit royalties. This is one of the largest China biotech out-licensing deals ever by upfront value, validating the PD-1/VEGF class.",FierceBiotech,https://www.fiercebiotech.com/biotech/despite-geopolitical-pressures-china-biotech-deals-remain-pace-collective-value-soars
May 2025,licensing-out,3SBio,Pfizer,PD-1/VEGF cancer drug,Oncology,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Bispecific Antibody,"Pfizer licensed a PD-1/VEGF cancer drug from Shenyang-based 3SBio, considered critical to Pfizer's future oncology plans. The deal was part of a broader wave in H1 2025 where one-third of all licensing deal spend involved China-originated medicines, up from 21% in 2023-2024. Pfizer's move into the PD-1/VEGF bispecific space puts it in competition with Akeso's ivonescimab and Biotheus' PM8002.",BioPharma Dive,https://www.biopharmadive.com/news/china-biotech-drug-deals-pfizer-bourla-comments/756880/
